date,model,type,price,amount
2026-06-09,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,246039552
2026-06-09,deepseek-v4-pro,input_cache_miss_tokens,0.000003,1422837
2026-06-09,deepseek-v4-pro,request_count,,1293
2026-06-09,deepseek-v4-pro,output_tokens,0.000006,516781
2026-06-09,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,518528
2026-06-09,deepseek-v4-flash,input_cache_miss_tokens,0.000001,132518
2026-06-09,deepseek-v4-flash,request_count,,23
2026-06-09,deepseek-v4-flash,output_tokens,0.000002,49152
2026-06-10,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,201983104
2026-06-10,deepseek-v4-pro,input_cache_miss_tokens,0.000003,2582684
2026-06-10,deepseek-v4-pro,request_count,,1005
2026-06-10,deepseek-v4-pro,output_tokens,0.000006,601846
2026-06-10,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,1131520
2026-06-10,deepseek-v4-flash,input_cache_miss_tokens,0.000001,366508
2026-06-10,deepseek-v4-flash,request_count,,22
2026-06-10,deepseek-v4-flash,output_tokens,0.000002,25161
2026-06-11,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,188349824
2026-06-11,deepseek-v4-pro,input_cache_miss_tokens,0.000003,1952741
2026-06-11,deepseek-v4-pro,request_count,,914
2026-06-11,deepseek-v4-pro,output_tokens,0.000006,495963
2026-06-11,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,7447808
2026-06-11,deepseek-v4-flash,input_cache_miss_tokens,0.000001,949926
2026-06-11,deepseek-v4-flash,request_count,,195
2026-06-11,deepseek-v4-flash,output_tokens,0.000002,222341
2026-06-12,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,273550976
2026-06-12,deepseek-v4-pro,input_cache_miss_tokens,0.000003,3091538
2026-06-12,deepseek-v4-pro,request_count,,1172
2026-06-12,deepseek-v4-pro,output_tokens,0.000006,493261
2026-06-12,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,2076160
2026-06-12,deepseek-v4-flash,input_cache_miss_tokens,0.000001,585566
2026-06-12,deepseek-v4-flash,request_count,,71
2026-06-12,deepseek-v4-flash,output_tokens,0.000002,108347
2026-06-13,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,290909184
2026-06-13,deepseek-v4-pro,input_cache_miss_tokens,0.000003,1744923
2026-06-13,deepseek-v4-pro,request_count,,1129
2026-06-13,deepseek-v4-pro,output_tokens,0.000006,606243
2026-06-13,deepseek-v4-flash,input_cache_miss_tokens,0.000001,14741
2026-06-13,deepseek-v4-flash,request_count,,6
2026-06-13,deepseek-v4-flash,output_tokens,0.000002,5404
2026-06-14,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,505556352
2026-06-14,deepseek-v4-pro,input_cache_miss_tokens,0.000003,3752737
2026-06-14,deepseek-v4-pro,request_count,,1940
2026-06-14,deepseek-v4-pro,output_tokens,0.000006,823889
2026-06-14,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,3383936
2026-06-14,deepseek-v4-flash,input_cache_miss_tokens,0.000001,506974
2026-06-14,deepseek-v4-flash,request_count,,84
2026-06-14,deepseek-v4-flash,output_tokens,0.000002,122148
2026-06-15,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,359784064
2026-06-15,deepseek-v4-pro,input_cache_miss_tokens,0.000003,2932749
2026-06-15,deepseek-v4-pro,request_count,,1558
2026-06-15,deepseek-v4-pro,output_tokens,0.000006,509973
2026-06-15,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,2255616
2026-06-15,deepseek-v4-flash,input_cache_miss_tokens,0.000001,300405
2026-06-15,deepseek-v4-flash,request_count,,76
2026-06-15,deepseek-v4-flash,output_tokens,0.000002,111284
2026-06-16,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,179448960
2026-06-16,deepseek-v4-pro,input_cache_miss_tokens,0.000003,2904002
2026-06-16,deepseek-v4-pro,request_count,,1177
2026-06-16,deepseek-v4-pro,output_tokens,0.000006,659747
2026-06-16,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,51351296
2026-06-16,deepseek-v4-flash,input_cache_miss_tokens,0.000001,893067
2026-06-16,deepseek-v4-flash,request_count,,641
2026-06-16,deepseek-v4-flash,output_tokens,0.000002,349185
2026-06-17,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,288460160
2026-06-17,deepseek-v4-pro,input_cache_miss_tokens,0.000003,2170979
2026-06-17,deepseek-v4-pro,request_count,,1738
2026-06-17,deepseek-v4-pro,output_tokens,0.000006,723124
2026-06-17,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,88655232
2026-06-17,deepseek-v4-flash,input_cache_miss_tokens,0.000001,674797
2026-06-17,deepseek-v4-flash,request_count,,505
2026-06-17,deepseek-v4-flash,output_tokens,0.000002,293726
2026-06-18,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,195724928
2026-06-18,deepseek-v4-pro,input_cache_miss_tokens,0.000003,524582
2026-06-18,deepseek-v4-pro,request_count,,882
2026-06-18,deepseek-v4-pro,output_tokens,0.000006,356436
2026-06-18,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,1080064
2026-06-18,deepseek-v4-flash,input_cache_miss_tokens,0.000001,231397
